"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/ia/danville/danville-bears/","/ia/brooklyn/b-g-m-bears/","7","69","2008","8-29-2008","Non-Conference","Home","varsity","B-G-MBrooklyn","Fri, 8/29Time TBA"
"/ia/danville/danville-bears/","/ia/new-sharon/north-mahaska-warhawks/","15","48","2008","9-5-2008","Non-Conference","Away","varsity","North MahaskaNew Sharon","Fri, 9/5Time TBA"
"/ia/danville/danville-bears/","/ia/new-london/new-london-tigers/","14","52","2008","9-12-2008","Conference","Home","varsity","New London","Fri, 9/12Time TBA"
"/ia/danville/danville-bears/","/ia/riverside/highland-huskies/","23","36","2008","9-19-2008","Conference","Away","varsity","HighlandRiverside","Fri, 9/19Time TBA"
"/ia/danville/danville-bears/","/ia/lone-tree/lone-tree-lions/","28","68","2008","9-26-2008","Conference","Away","varsity","Lone Tree","Fri, 9/26Time TBA"
"/ia/danville/danville-bears/","/ia/eldon/cardinal-comets/","0","21","2008","10-3-2008","Conference","Home","varsity","CardinalEldon","Fri, 10/3Time TBA"
"/ia/danville/danville-bears/","/ia/wayland/waco-warriors/","24","77","2008","10-10-2008","Conference","Away","varsity","WACOWayland","Fri, 10/10Time TBA"
"/ia/danville/danville-bears/","/ia/north-english/english-valleys-bears/","24","57","2008","10-17-2008","Non-Conference","Home","varsity","English ValleysNorth English","Fri, 10/17Time TBA"
"/ia/danville/danville-bears/","/ia/winfield/winfield-mt-union-wolves/","0","52","2008","10-24-2008","Conference","Away","varsity","Winfield-Mt. UnionWinfield","Fri, 10/24Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/bedford/bedford-bulldogs/","6","41","2008","8-29-2008","Non-Conference","Home","varsity","Bedford","Fri, 8/29Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/leon/central-decatur-cardinals/","14","42","2008","9-5-2008","Non-Conference","Away","varsity","Central DecaturLeon","Fri, 9/5Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/madrid/madrid-tigers/","0","54","2008","9-12-2008","Conference","Away","varsity","Madrid","Fri, 9/12Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/sully/lynnville-sully-hawks/","6","52","2008","9-19-2008","Conference","Home","varsity","Lynnville-SullySully","Fri, 9/19Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/treynor/treynor-cardinals/","0","67","2008","9-26-2008","Non-Conference","Away","varsity","Treynor","Fri, 9/26Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/van-meter/van-meter-bulldogs/","14","55","2008","10-3-2008","Conference","Away","varsity","Van Meter","Fri, 10/3Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/colo/colo-nesco-royals/","8","68","2008","10-10-2008","Conference","Home","varsity","Colo-NESCOColo","Fri, 10/10Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/liberty-center/southeast-warren-warhawks/","0","57","2008","10-17-2008","Conference","Home","varsity","Southeast WarrenLiberty Center","Fri, 10/17Time TBA"
"/ia/martensdale/martensdale-st-marys-blue-devils/","/ia/earlham/earlham-cardinals/","0","63","2008","10-24-2008","Conference","Away","varsity","Earlham","Fri, 10/24Time TBA"
"/ia/eldon/cardinal-comets/","/ia/keosauqua/van-buren-county-warriors/","0","54","2008","8-29-2008","Non-Conference","Home","varsity","Van Buren CountyKeosauqua","Fri, 8/29Time TBA"
"/ia/eldon/cardinal-comets/","/ia/north-english/english-valleys-bears/","7","25","2008","9-5-2008","Non-Conference","Away","varsity","English ValleysNorth English","Fri, 9/5Time TBA"
"/ia/eldon/cardinal-comets/","/ia/lone-tree/lone-tree-lions/","7","28","2008","9-12-2008","Conference","Away","varsity","Lone Tree","Fri, 9/12Time TBA"
"/ia/eldon/cardinal-comets/","/ia/winfield/winfield-mt-union-wolves/","10","35","2008","9-19-2008","Conference","Home","varsity","Winfield-Mt. UnionWinfield","Fri, 9/19Time TBA"
"/ia/eldon/cardinal-comets/","/ia/brooklyn/b-g-m-bears/","0","42","2008","9-26-2008","Non-Conference","Away","varsity","B-G-MBrooklyn","Fri, 9/26Time TBA"
"/ia/eldon/cardinal-comets/","/ia/danville/danville-bears/","21","0","2008","10-3-2008","Conference","Away","varsity","Danville","Fri, 10/3Time TBA"
"/ia/eldon/cardinal-comets/","/ia/new-london/new-london-tigers/","7","28","2008","10-10-2008","Conference","Home","varsity","New London","Fri, 10/10Time TBA"
"/ia/eldon/cardinal-comets/","/ia/wayland/waco-warriors/","12","48","2008","10-17-2008","Conference","Home","varsity","WACOWayland","Fri, 10/17Time TBA"
"/ia/eldon/cardinal-comets/","/ia/riverside/highland-huskies/","6","33","2008","10-24-2008","Conference","Away","varsity","HighlandRiverside","Fri, 10/24Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/onawa/west-monona-spartans/","6","53","2008","8-29-2008","Non-Conference","Home","varsity","West MononaOnawa","Fri, 8/29Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/sloan/westwood-rebels/","6","44","2008","9-5-2008","Non-Conference","Away","varsity","WestwoodSloan","Fri, 9/5Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/dunlap/boyer-valley-bulldogs/","0","40","2008","9-12-2008","Conference","Away","varsity","Boyer ValleyDunlap","Fri, 9/12Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/bedford/bedford-bulldogs/","0","47","2008","9-19-2008","Conference","Away","varsity","Bedford","Fri, 9/19Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/avoca/a-h-s-t-vikings/","0","55","2008","9-26-2008","Conference","Away","varsity","A-H-S-TAvoca","Fri, 9/26Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/treynor/treynor-cardinals/","0","42","2008","10-3-2008","Conference","Home","varsity","Treynor","Fri, 10/3Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/tabor/fremont-mills-knights/","15","17","2008","10-10-2008","Conference","Away","varsity","Fremont-MillsTabor","Fri, 10/10Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/van-meter/van-meter-bulldogs/","3","46","2008","10-17-2008","Non-Conference","Away","varsity","Van Meter","Fri, 10/17Time TBA"
"/ia/mondamin/west-harrison-hawkeyes/","/ia/corning/corning-red-raiders/","0","36","2008","10-24-2008","Conference","Home","varsity","Corning","Fri, 10/24Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/","/ia/madrid/madrid-tigers/","0","60","2008","8-29-2008","Non-Conference","Away","varsity","Madrid","Fri, 8/29Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/","/ia/gowrie/prairie-valley-warriors/","6","55","2008","9-5-2008","Non-Conference","Home","varsity","Prairie ValleyGowrie","Fri, 9/5Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/","/ia/rockwell-city/rockwell-city-lytton-wildcats/","0","67","2008","9-12-2008","Conference","Away","varsity","Rockwell City-LyttonRockwell City","Fri, 9/12Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/","/ia/royal/clay-central-everly-mavericks/","6","58","2008","9-19-2008","Conference","Home","varsity","Clay Central-EverlyRoyal","Fri, 9/19Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/","/ia/correctionville/river-valley-wolverines/","6","58","2008","9-26-2008","Non-Conference","Away","varsity","River ValleyCorrectionville","Fri, 9/26Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/","/ia/buffalo-center/north-iowa-bison/","0","58","2008","10-3-2008","Conference","Away","varsity","North IowaBuffalo Center","Fri, 10/3Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/","/ia/newell/newell-fonda-mustangs/","0","47","2008","10-10-2008","Conference","Home","varsity","Newell-FondaNewell","Fri, 10/10Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/","/ia/algona/bishop-garrigan-golden-bears/","8","49","2008","10-17-2008","Conference","Home","varsity","Bishop GarriganAlgona","Fri, 10/17Time TBA"
"/ia/burnside/southeast-webster-grand-eagles/",NA,"0","62","2008","10-24-2008","Conference","Away","varsity","Southern CalLake City","Fri, 10/24Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/wapello/wapello-indians/","6","38","2008","8-29-2008","Non-Conference","Home","varsity","Wapello","Fri, 8/29Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/new-london/new-london-tigers/","13","41","2008","9-5-2008","Non-Conference","Away","varsity","New London","Fri, 9/5Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/wellman/mid-prairie-golden-hawks/","0","56","2008","9-12-2008","Conference","Home","varsity","Mid-PrairieWellman","Fri, 9/12Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/bloomfield/davis-county-mustangs/","0","47","2008","9-19-2008","Conference","Away","varsity","Davis CountyBloomfield","Fri, 9/19Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/columbus-junction/columbus-wildcats/","6","51","2008","9-26-2008","Conference","Away","varsity","ColumbusColumbus Junction","Fri, 9/26Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/sigourney/sigourney-keota-cobras/","0","48","2008","10-3-2008","Conference","Home","varsity","Sigourney-KeotaSigourney","Fri, 10/3Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/west-burlington/west-burlington-notre-dame-falcons/","6","46","2008","10-10-2008","Conference","Home","varsity","West Burlington/Notre DameWest Burlington","Fri, 10/10Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/donnellson/central-lee-hawks/","14","40","2008","10-17-2008","Conference","Away","varsity","Central LeeDonnellson","Fri, 10/17Time TBA"
"/ia/letts/louisa-muscatine-falcons/","/ia/mediapolis/mediapolis-bulldogs/","8","45","2008","10-24-2008","Conference","Away","varsity","Mediapolis","Fri, 10/24Time TBA"
"/ia/wyoming/midland-eagles/","/ia/traer/north-tama-red-hawks/","0","50","2008","8-29-2008","Non-Conference","Home","varsity","North TamaTraer","Fri, 8/29Time TBA"
"/ia/wyoming/midland-eagles/","/ia/le-grand/east-marshall-mustangs/","6","28","2008","9-5-2008","Non-Conference","Away","varsity","East MarshallLe Grand","Fri, 9/5Time TBA"
"/ia/wyoming/midland-eagles/","/ia/lisbon/lisbon-lions/","13","36","2008","9-12-2008","Conference","Away","varsity","Lisbon","Fri, 9/12Time TBA"
"/ia/wyoming/midland-eagles/","/ia/fairbank/wapsie-valley-warriors/","7","34","2008","9-19-2008","Conference","Home","varsity","Wapsie ValleyFairbank","Fri, 9/19Time TBA"
"/ia/wyoming/midland-eagles/","/ia/elkader/central-warriors/","7","55","2008","9-26-2008","Conference","Home","varsity","CentralElkader","Fri, 9/26Time TBA"
"/ia/wyoming/midland-eagles/","/ia/postville/postville-pirates/","0","40","2008","10-3-2008","Conference","Away","varsity","Postville","Fri, 10/3Time TBA"
"/ia/wyoming/midland-eagles/","/ia/elgin/valley-tigers/","20","21","2008","10-10-2008","Conference","Home","varsity","ValleyElgin","Fri, 10/10Time TBA"
"/ia/wyoming/midland-eagles/","/ia/winthrop/east-buchanan-buccaneers/","21","67","2008","10-17-2008","Conference","Away","varsity","East BuchananWinthrop","Fri, 10/17Time TBA"
"/ia/wyoming/midland-eagles/","/ia/gilbertville/don-bosco-dons/","0","20","2008","10-24-2008","Conference","Home","varsity","Don BoscoGilbertville","Fri, 10/24Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/royal/clay-central-everly-mavericks/","0","36","2008","8-29-2008","Non-Conference","Away","varsity","Clay Central-EverlyRoyal","Fri, 8/29Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/ida-grove/odebolt-arthur-battle-creek-ida-grove-falcons/","0","55","2008","9-5-2008","Non-Conference","Away","varsity","Odebolt Arthur Battle Creek Ida GroveIda Grove","Fri, 9/5Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/correctionville/river-valley-wolverines/","6","33","2008","9-12-2008","Conference","Home","varsity","River ValleyCorrectionville","Fri, 9/12Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/le-mars/gehlen-catholic-jays/","14","53","2008","9-19-2008","Conference","Away","varsity","Gehlen CatholicLe Mars","Fri, 9/19Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/alta/alta-cyclones/","7","64","2008","9-26-2008","Conference","Home","varsity","Alta","Fri, 9/26Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/rockwell-city/rockwell-city-lytton-wildcats/","0","35","2008","10-3-2008","Non-Conference","Home","varsity","Rockwell City-LyttonRockwell City","Fri, 10/3Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/moville/woodbury-central-wildcats/","7","32","2008","10-10-2008","Conference","Home","varsity","Woodbury CentralMoville","Fri, 10/10Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/akron/akron-westfield-westerners/","13","46","2008","10-17-2008","Conference","Away","varsity","Akron-WestfieldAkron","Fri, 10/17Time TBA"
"/ia/kingsley/kingsley-pierson-panthers/","/ia/marcus/marcus-meriden-cleghorn/","0","57","2008","10-24-2008","Conference","Away","varsity","Marcus-Meriden-CleghornMarcus","Fri, 10/24Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/hampton/hampton-dumont-bulldogs/","0","27","2008","8-29-2008","Non-Conference","Home","varsity","Hampton-DumontHampton","Fri, 8/29Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/denver/denver-cyclones/","21","27","2008","9-5-2008","Non-Conference","Away","varsity","Denver","Fri, 9/5Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/rockford/rockford-warriors/","19","20","2008","9-12-2008","Conference","Home","varsity","Rockford","Fri, 9/12Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/tripoli/tripoli-panthers/","20","21","2008","9-19-2008","Conference","Away","varsity","Tripoli","Fri, 9/19Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/cedar-falls/northern-university-panthers/","20","27","2008","9-26-2008","Conference","Away","varsity","Northern UniversityCedar Falls","Fri, 9/26Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/riceville/riceville-wildcats/","0","20","2008","10-3-2008","Conference","Home","varsity","Riceville","Fri, 10/3Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/northwood/northwood-kensett-vikings/","6","40","2008","10-10-2008","Conference","Home","varsity","Northwood-KensettNorthwood","Fri, 10/10Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/greene/north-butler-bearcats/","0","7","2008","10-17-2008","Conference","Away","varsity","North ButlerGreene","Fri, 10/17Time TBA"
"/ia/ackley/agwsr-cougars/","/ia/mason-city/newman-catholic-knights/","12","36","2008","10-24-2008","Conference","Away","varsity","Newman CatholicMason City","Fri, 10/24Time TBA"
"/ia/keosauqua/van-buren-county-warriors/","/ia/eldon/cardinal-comets/","54","0","2008","8-29-2008","Non-Conference","Away","varsity","CardinalEldon","Fri, 8/29Time TBA"
"/ia/keosauqua/van-buren-county-warriors/","/ia/winfield/winfield-mt-union-wolves/","6","14","2008","9-5-2008","Non-Conference","Home","varsity","Winfield-Mt. UnionWinfield","Fri, 9/5Time TBA"
"/ia/keosauqua/van-buren-county-warriors/","/ia/wapello/wapello-indians/","10","16","2008","9-12-2008","Conference","Away","varsity","Wapello","Fri, 9/12Time TBA"
"/ia/keosauqua/van-buren-county-warriors/","/ia/packwood/pekin-panthers/","7","47","2008","9-19-2008","Conference","Home","varsity","PekinPackwood","Fri, 9/19Time TBA"
"/ia/keosauqua/van-buren-county-warriors/","/ia/marengo/iowa-valley-tigers/","0","35","2008","9-26-2008","Conference","Home","varsity","Iowa ValleyMarengo","Fri, 9/26Time TBA"
"/ia/keosauqua/van-buren-county-warriors/","/ia/eddyville/eddyville-blakesburg-fremont-rockets/","0","31","2008","10-3-2008","Conference","Away","varsity","Eddyville-Blakesburg-FremontEddyville","Fri, 10/3Time TBA"
"/ia/keosauqua/van-buren-county-warriors/","/ia/durant/durant-wildcats/","26","34","2008","10-10-2008","Conference","Home","varsity","Durant","Fri, 10/107:00pm"
"/ia/keosauqua/van-buren-county-warriors/","/ia/belle-plaine/belle-plaine-plainsmen/","13","61","2008","10-17-2008","Conference","Away","varsity","Belle Plaine","Fri, 10/17Time TBA"
"/ia/keosauqua/van-buren-county-warriors/","/ia/west-branch/west-branch-bears/","0","35","2008","10-24-2008","Conference","Home","varsity","West Branch","Fri, 10/24Time TBA"
"/ia/elgin/valley-tigers/","/ia/tripoli/tripoli-panthers/","0","20","2008","8-29-2008","Non-Conference","Away","varsity","Tripoli","Fri, 8/29Time TBA"
"/ia/elgin/valley-tigers/","/ia/riceville/riceville-wildcats/","2","12","2008","9-5-2008","Non-Conference","Home","varsity","Riceville","Fri, 9/5Time TBA"
"/ia/elgin/valley-tigers/","/ia/elkader/central-warriors/","14","41","2008","9-12-2008","Conference","Home","varsity","CentralElkader","Fri, 9/12Time TBA"
"/ia/elgin/valley-tigers/","/ia/winthrop/east-buchanan-buccaneers/","16","56","2008","9-19-2008","Conference","Away","varsity","East BuchananWinthrop","Fri, 9/19Time TBA"
"/ia/elgin/valley-tigers/","/ia/postville/postville-pirates/","8","20","2008","9-26-2008","Conference","Home","varsity","Postville","Fri, 9/26Time TBA"
"/ia/elgin/valley-tigers/","/ia/lisbon/lisbon-lions/","8","41","2008","10-3-2008","Conference","Home","varsity","Lisbon","Fri, 10/3Time TBA"
"/ia/elgin/valley-tigers/","/ia/wyoming/midland-eagles/","21","20","2008","10-10-2008","Conference","Away","varsity","MidlandWyoming","Fri, 10/10Time TBA"
"/ia/elgin/valley-tigers/","/ia/gilbertville/don-bosco-dons/","0","35","2008","10-17-2008","Conference","Away","varsity","Don BoscoGilbertville","Fri, 10/17Time TBA"
"/ia/elgin/valley-tigers/","/ia/fairbank/wapsie-valley-warriors/","6","41","2008","10-24-2008","Conference","Home","varsity","Wapsie ValleyFairbank","Fri, 10/24Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/nashua/nashua-plainfield-huskies/","7","43","2008","8-29-2008","Non-Conference","Home","varsity","Nashua-PlainfieldNashua","Fri, 8/29Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/sheffield/scmt-rockwell-swaledale-spartans/","14","28","2008","9-5-2008","Non-Conference","Away","varsity","SCMT/Rockwell-SwaledaleSheffield","Fri, 9/5Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/mason-city/newman-catholic-knights/","0","42","2008","9-12-2008","Conference","Away","varsity","Newman CatholicMason City","Fri, 9/12Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/northwood/northwood-kensett-vikings/","6","42","2008","9-19-2008","Conference","Home","varsity","Northwood-KensettNorthwood","Fri, 9/19Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/tripoli/tripoli-panthers/","7","48","2008","9-26-2008","Conference","Away","varsity","Tripoli","Fri, 9/26Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/rockford/rockford-warriors/","3","65","2008","10-3-2008","Conference","Away","varsity","Rockford","Fri, 10/3Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/riceville/riceville-wildcats/","0","31","2008","10-10-2008","Conference","Home","varsity","Riceville","Fri, 10/10Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/ackley/agwsr-cougars/","7","0","2008","10-17-2008","Conference","Home","varsity","AGWSRAckley","Fri, 10/17Time TBA"
"/ia/greene/north-butler-bearcats/","/ia/cedar-falls/northern-university-panthers/","21","47","2008","10-23-2008","Conference","Away","varsity","Northern UniversityCedar Falls","Thu, 10/23Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/tabor/fremont-mills-knights/","19","24","2008","8-29-2008","Non-Conference","Away","varsity","Fremont-MillsTabor","Fri, 8/29Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/clarinda/clarinda-academy-eagles/","14","74","2008","9-5-2008","Non-Conference","Home","varsity","Clarinda AcademyClarinda","Fri, 9/5Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/carroll/kuemper-knights/","0","40","2008","9-12-2008","Conference","Home","varsity","KuemperCarroll","Fri, 9/12Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/red-oak/red-oak-tigers/","0","34","2008","9-19-2008","Conference","Away","varsity","Red Oak","Fri, 9/19Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/missouri-valley/missouri-valley-big-reds/","6","48","2008","9-26-2008","Conference","Away","varsity","Missouri Valley","Fri, 9/26Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/clarinda/clarinda-cardinals/","7","61","2008","10-3-2008","Conference","Home","varsity","Clarinda","Fri, 10/3Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/ida-grove/odebolt-arthur-battle-creek-ida-grove-falcons/","0","74","2008","10-10-2008","Conference","Home","varsity","Odebolt Arthur Battle Creek Ida GroveIda Grove","Fri, 10/10Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/mapleton/maple-valley-anthon-oto-rams/","0","39","2008","10-17-2008","Conference","Away","varsity","Maple Valley-Anthon-OtoMapleton","Fri, 10/17Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/manilla/ikm-hawks/","0","61","2008","10-24-2008","Conference","Away","varsity","IKMManilla","Fri, 10/24Time TBA"
"/ia/shenandoah/shenandoah-mustangs/","/ia/manning/ikm-manning-wolves/","0","61","2008","10-24-2008","Conference","Away","varsity","IKM/ManningManning","Fri, 10/24Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/panora/panorama-panthers/","7","30","2008","8-29-2008","Non-Conference","Away","varsity","PanoramaPanora","Fri, 8/29Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/martensdale/martensdale-st-marys-blue-devils/","42","14","2008","9-5-2008","Non-Conference","Home","varsity","Martensdale-St. Mary'sMartensdale","Fri, 9/5Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/corydon/wayne-falcons/","17","19","2008","9-13-2008","Conference","Home","varsity","WayneCorydon","Sat, 9/13Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/truro/interstate-35-roadrunners/","14","20","2008","9-19-2008","Conference","Home","varsity","Interstate 35Truro","Fri, 9/19Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/pella/pella-christian-eagles/","8","42","2008","9-26-2008","Conference","Home","varsity","Pella ChristianPella","Fri, 9/26Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/des-moines/des-moines-christian-lions/","30","23","2008","10-3-2008","Conference","Away","varsity","Des Moines ChristianDes Moines","Fri, 10/3Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/greenfield/nodaway-valley-wolverines/","6","41","2008","10-10-2008","Conference","Away","varsity","Nodaway ValleyGreenfield","Fri, 10/10Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/pleasantville/pleasantville-trojans/","31","49","2008","10-17-2008","Conference","Home","varsity","Pleasantville","Fri, 10/17Time TBA"
"/ia/leon/central-decatur-cardinals/","/ia/mount-ayr/mount-ayr-raiders/","12","55","2008","10-23-2008","Conference","Home","varsity","Mount Ayr","Thu, 10/23Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/sumner/sumner-fredericksburg-cougars/","0","35","2008","8-29-2008","Non-Conference","Home","varsity","Sumner-FredericksburgSumner","Fri, 8/29Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/elkader/central-warriors/","0","21","2008","9-5-2008","Non-Conference","Away","varsity","CentralElkader","Fri, 9/5Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/guttenburg/clayton-ridge-eagles/","0","44","2008","9-12-2008","Conference","Home","varsity","Clayton-RidgeGuttenburg","Fri, 9/12Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/troy-mills/north-linn-lynx/","6","24","2008","9-19-2008","Conference","Away","varsity","North LinnTroy Mills","Fri, 9/19Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/goose-lake/northeast-rebels/","12","33","2008","9-26-2008","Conference","Home","varsity","NortheastGoose Lake","Fri, 9/26Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/delhi/maquoketa-valley-wildcats/","7","31","2008","10-3-2008","Conference","Away","varsity","Maquoketa ValleyDelhi","Fri, 10/3Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/alburnett/alburnett-pirates/","0","35","2008","10-10-2008","Conference","Home","varsity","Alburnett","Fri, 10/10Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/bellevue/bellevue-comets/","0","34","2008","10-17-2008","Conference","Away","varsity","Bellevue","Fri, 10/17Time TBA"
"/ia/edgewood/edgewood-colesburg-vikings/","/ia/arlington/starmont-stars/","6","44","2008","10-24-2008","Conference","Home","varsity","StarmontArlington","Fri, 10/24Time TBA"
"/ia/riverside/highland-huskies/","/ia/columbus-junction/columbus-wildcats/","14","35","2008","8-29-2008","Non-Conference","Away","varsity","ColumbusColumbus Junction","Fri, 8/29Time TBA"
"/ia/riverside/highland-huskies/","/ia/belle-plaine/belle-plaine-plainsmen/","7","62","2008","9-5-2008","Non-Conference","Home","varsity","Belle Plaine","Fri, 9/5Time TBA"
"/ia/riverside/highland-huskies/","/ia/garwin/gmg-wolverines/","0","35","2008","9-12-2008","Non-Conference","Away","varsity","GMGGarwin","Fri, 9/12Time TBA"
"/ia/riverside/highland-huskies/","/ia/danville/danville-bears/","36","23","2008","9-19-2008","Conference","Home","varsity","Danville","Fri, 9/19Time TBA"
"/ia/riverside/highland-huskies/","/ia/wayland/waco-warriors/","7","21","2008","9-26-2008","Conference","Away","varsity","WACOWayland","Fri, 9/26Time TBA"
"/ia/riverside/highland-huskies/","/ia/winfield/winfield-mt-union-wolves/","6","0","2008","10-3-2008","Conference","Home","varsity","Winfield-Mt. UnionWinfield","Fri, 10/3Time TBA"
"/ia/riverside/highland-huskies/","/ia/lone-tree/lone-tree-lions/","12","40","2008","10-10-2008","Conference","Away","varsity","Lone Tree","Fri, 10/10Time TBA"
"/ia/riverside/highland-huskies/","/ia/new-london/new-london-tigers/","7","28","2008","10-17-2008","Conference","Away","varsity","New London","Fri, 10/17Time TBA"
"/ia/riverside/highland-huskies/","/ia/eldon/cardinal-comets/","33","6","2008","10-24-2008","Conference","Home","varsity","CardinalEldon","Fri, 10/24Time TBA"
"/ia/riverside/highland-huskies/","/ia/traer/north-tama-red-hawks/","7","40","2008","10-29-2008","Playoff","Away","varsity","North TamaTraer","Wed, 10/29Time TBA"
"/ia/winfield/winfield-mt-union-wolves/","/ia/new-sharon/north-mahaska-warhawks/","18","21","2008","8-29-2008","Non-Conference","Home","varsity","North MahaskaNew Sharon","Fri, 8/29Time TBA"
"/ia/winfield/winfield-mt-union-wolves/","/ia/keosauqua/van-buren-county-warriors/","14","6","2008","9-5-2008","Non-Conference","Away","varsity","Van Buren CountyKeosauqua","Fri, 9/5Time TBA"
"/ia/winfield/winfield-mt-union-wolves/","/ia/wayland/waco-warriors/","7","14","2008","9-12-2008","Conference","Home","varsity","WACOWayland","Fri, 9/12Time TBA"
"/ia/winfield/winfield-mt-union-wolves/","/ia/eldon/cardinal-comets/","35","10","2008","9-19-2008","Conference","Away","varsity","CardinalEldon","Fri, 9/19Time TBA"
"/ia/winfield/winfield-mt-union-wolves/","/ia/new-london/new-london-tigers/","26","32","2008","9-26-2008","Conference","Home","varsity","New London","Fri, 9/26Time TBA"
"/ia/winfield/winfield-mt-union-wolves/","/ia/riverside/highland-huskies/","0","6","2008","10-3-2008","Conference","Away","varsity","HighlandRiverside","Fri, 10/3Time TBA"
