"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/vt/saxtons-river/vermont-academy-wildcats/","/me/hebron/hebron-academy-lumberjacks/","7","34","2006","9-23-2006","Non-District","Home","varsity","Hebron AcademyHebron, ME","Sat, 9/23Time TBA"
"/vt/saxtons-river/vermont-academy-wildcats/","/nh/meriden/kimball-union-academy-wildcats/","0","42","2006","9-30-2006","District","Home","varsity","Kimball Union AcademyMeriden, NH","Sat, 9/30Time TBA"
"/vt/saxtons-river/vermont-academy-wildcats/","/ri/portsmouth/portsmouth-abbey-ravens/","0","26","2006","10-7-2006","District","Away","varsity","Portsmouth AbbeyPortsmouth, RI","Sat, 10/7Time TBA"
"/vt/saxtons-river/vermont-academy-wildcats/","/ma/brookline/dexter-southfield/","46","14","2006","10-14-2006","District","Home","varsity","Dexter SouthfieldBrookline, MA","Sat, 10/14Time TBA"
"/vt/saxtons-river/vermont-academy-wildcats/","/ct/pomfret/pomfret-school-griffins/","0","32","2006","10-21-2006","District","Away","varsity","Pomfret SchoolPomfret, CT","Sat, 10/21Time TBA"
"/vt/saxtons-river/vermont-academy-wildcats/","/nh/andover/proctor-academy-hornets/",NA,NA,"2006","10-27-2006","Non-District","Neutral","varsity","Proctor AcademyAndover, NH","Fri, 10/27Time TBA"
"/vt/saxtons-river/vermont-academy-wildcats/","/nh/tilton/tilton-school-rams/","6","43","2006","11-4-2006","Non-District","Away","varsity","Tilton SchoolTilton, NH","Sat, 11/4Time TBA"
"/vt/saxtons-river/vermont-academy-wildcats/","/ma/south-hamilton/pingree-highlanders/","18","37","2006","11-11-2006","Non-District","Away","varsity","PingreeSouth Hamilton, MA","Sat, 11/11Time TBA"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/fairfax/bellows-free-academy-bullets/","13","20","2006","9-2-2006","Non-District","Away","varsity","Bellows Free AcademyFairfax","Sat, 9/21:00pm"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/manchester/burr-and-burton-bulldogs/","8","17","2006","9-9-2006","District","Home","varsity","Burr & BurtonManchester","Sat, 9/9Time TBA"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/brandon/otter-valley-otters/","19","52","2006","9-16-2006","District","Away","varsity","Otter ValleyBrandon","Sat, 9/16Time TBA"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/winooski/winooski-spartans/","0","41","2006","9-23-2006","District","Home","varsity","Winooski","Sat, 9/23Time TBA"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/bristol/mt-abraham-eagles/","29","6","2006","9-30-2006","District","Home","varsity","Mt. AbrahamBristol","Sat, 9/30Time TBA"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/montpelier/u-32-raiders/","0","66","2006","10-6-2006","District","Away","varsity","U-32Montpelier","Fri, 10/6Time TBA"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/jericho/mt-mansfield-cougars/","7","44","2006","10-14-2006","District","Home","varsity","Mt. MansfieldJericho","Sat, 10/14Time TBA"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/montpelier/montpelier-solons/","0","38","2006","10-21-2006","District","Away","varsity","Montpelier","Sat, 10/21Time TBA"
"/vt/hinesburg/champlain-valley-union-redhawks/","/vt/colchester/colchester-lakers/","6","46","2006","10-27-2006","Non-District","Away","varsity","Colchester","Fri, 10/27Time TBA"
"/vt/winooski/winooski-spartans/","/vt/fairfax/bellows-free-academy-bullets/","7","12","2006","9-9-2006","Non-District","Away","varsity","Bellows Free AcademyFairfax","Sat, 9/91:00pm"
"/vt/winooski/winooski-spartans/","/vt/bristol/mt-abraham-eagles/","7","20","2006","9-15-2006","District","Home","varsity","Mt. AbrahamBristol","Fri, 9/15Time TBA"
