"team1","team2","score1","score2","season","date","game_type","location","level","team2_fill","date_fill"
"/tx/benavides/benavides-eagles/","/tx/runge/runge-yellowjackets/","0","46","2022","9-2-2022","Non-District","Away","varsity","Runge","Fri, 9/27:00pm"
"/tx/benavides/benavides-eagles/","/tx/riviera/kaufer-seahawks/","0","34","2022","9-9-2022","Non-District","Home","varsity","KauferRiviera","Fri, 9/912:00pm"
"/tx/benavides/benavides-eagles/","/tx/la-pryor/la-pryor-bulldogs/","0","65","2022","9-16-2022","Non-District","Home","varsity","La Pryor","Fri, 9/167:00pm"
"/tx/benavides/benavides-eagles/",NA,"35","0","2022","9-22-2022","Non-District","Away","varsity","Non-Varsity Opponent","Thu, 9/226:00pm"
"/tx/benavides/benavides-eagles/",NA,"34","6","2022","9-29-2022","Non-District","Away","varsity","Non-Varsity Opponent","Thu, 9/296:00pm"
"/tx/benavides/benavides-eagles/","/tx/woodsboro/woodsboro-eagles/","14","40","2022","10-7-2022","District","Home","varsity","Woodsboro","Fri, 10/77:00pm"
"/tx/benavides/benavides-eagles/","/tx/pettus/pettus-war-eagles/","20","44","2022","10-14-2022","District","Away","varsity","Pettus","Fri, 10/147:00pm"
"/tx/benavides/benavides-eagles/","/tx/agua-dulce/agua-dulce-longhorns/","0","50","2022","10-28-2022","District","Home","varsity","Agua Dulce","Fri, 10/287:00pm"
"/tx/benavides/benavides-eagles/","/tx/bruni/bruni-badgers/","0","48","2022","11-4-2022","District","Away","varsity","Bruni","Fri, 11/47:00pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/cedar-hill/dasche-spartans/","0","53","2022","9-3-2022","District","Home","varsity","DasCHECedar Hill","Sat, 9/33:00pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/conroe/northside-lions-sports-association-lions/",NA,NA,"2022","9-10-2022","District","Away","varsity","Northside Lions Sports AssociationConroe","Sat, 9/106:00pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/frost/frost-polar-bears/","0","58","2022","9-16-2022","Non-District","Away","varsity","Frost","Fri, 9/167:30pm"
"/tx/china-spring/ctsa-outlaws-outlaws/",NA,"8","38","2022","9-22-2022","Non-District","Neutral","varsity","Non-Varsity Opponent","Thu, 9/227:30pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/round-rock/austin-crusaders-homeschool-crusaders/","0","47","2022","10-1-2022","District","Home","varsity","Austin Crusaders HomeSchoolRound Rock","Sat, 10/12:30pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/arlington/newman-international-academy-warriors/","0","53","2022","10-8-2022","Non-District","Away","varsity","Newman International AcademyArlington","Sat, 10/85:30pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/plano/dallas-hsaa-angels/","0","79","2022","10-14-2022","District","Away","varsity","Dallas HSAAPlano","Fri, 10/147:30pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/fort-worth/atlas-homeschool-rattlers-rattlers/","12","48","2022","10-21-2022","District","Away","varsity","Atlas HomeSchool RattlersFort Worth","Fri, 10/217:30pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/round-rock/austin-crusaders-homeschool-crusaders/","0","48","2022","11-5-2022","Playoff","Neutral","varsity","Austin Crusaders HomeSchoolRound Rock","Sat, 11/51:00pm"
"/tx/china-spring/ctsa-outlaws-outlaws/","/tx/dallas/ume-preparatory-academy-eagles/",NA,NA,"2022","9-29-2023","Non-District","Home","varsity","UME Preparatory AcademyDallas","Fri, 9/297:00pm"
"/tx/houston/kipp-east-end/","/tx/houston/kipp-northeast-navigators/","6","63","2022","8-26-2022","District","Away","varsity","KIPP NortheastHouston","Fri, 8/26Time TBA"
"/tx/houston/kipp-east-end/","/tx/colmesneil/colmesneil-bulldogs/","6","50","2022","9-2-2022","Non-District","Home","varsity","Colmesneil","Fri, 9/27:00pm"
"/tx/houston/kipp-east-end/","/tx/houston/kipp-generations-collegiate-jaguars/","6","14","2022","9-9-2022","District","Away","varsity","KIPP Generations CollegiateHouston","Fri, 9/96:00pm"
"/tx/houston/kipp-east-end/","/tx/houston/pro-vision-academy-warriors/","6","16","2022","9-16-2022","Non-District","Away","varsity","Pro-Vision AcademyHouston","Fri, 9/167:00pm"
"/tx/houston/kipp-east-end/","/tx/houston/kipp-sunnyside/","0","50","2022","9-23-2022","District","Away","varsity","KIPP SunnysideHouston","Fri, 9/237:00pm"
"/tx/houston/kipp-east-end/","/tx/houston/kipp-houston-kerberos/",NA,NA,"2022","10-14-2022","District","Away","varsity","KIPP HoustonHouston","Fri, 10/146:30pm"
"/tx/tornillo/tornillo-coyotes/","/tx/fabens/fabens-wildcats/",NA,NA,"2022","9-1-2022","Non-District","Away","jv","Fabens","Thu, 9/16:00pm"
"/tx/tornillo/tornillo-coyotes/","/tx/morton/morton-indians/","0","51","2022","8-25-2022","Non-District","Neutral","varsity","Morton","Thu, 8/257:00pm"
"/tx/tornillo/tornillo-coyotes/","/tx/fabens/fabens-wildcats/","0","42","2022","9-2-2022","Non-District","Home","varsity","Fabens","Fri, 9/2Time TBA"
"/tx/tornillo/tornillo-coyotes/","/tx/san-elizario/san-elizario-eagles/","0","49","2022","9-16-2022","Non-District","Home","varsity","San Elizario","Fri, 9/167:00pm"
"/tx/tornillo/tornillo-coyotes/","/tx/crane/crane-cranes/","0","67","2022","9-23-2022","District","Away","varsity","Crane","Fri, 9/23Time TBA"
"/tx/tornillo/tornillo-coyotes/","/tx/alpine/alpine-bucks/","0","61","2022","9-30-2022","District","Away","varsity","Alpine","Fri, 9/307:31pm"
"/tx/tornillo/tornillo-coyotes/","/tx/odessa/compass-academy/","12","46","2022","10-7-2022","District","Home","varsity","Compass AcademyOdessa","Fri, 10/77:00pm"
"/tx/tornillo/tornillo-coyotes/","/tx/crane/crane-cranes/",NA,NA,"2022","10-21-2022","District","Home","varsity","Crane","Fri, 10/21Time TBA"
"/tx/tornillo/tornillo-coyotes/","/tx/alpine/alpine-bucks/","0","2","2022","10-28-2022","District","Home","varsity","Alpine","Fri, 10/286:30pm"
"/tx/tornillo/tornillo-coyotes/","/tx/odessa/compass-academy/",NA,NA,"2022","11-4-2022","District","Away","varsity","Compass AcademyOdessa","Fri, 11/47:00pm"
"/tx/tornillo/tornillo-coyotes/","/tx/wall/wall-hawks/",NA,NA,"2022",NA,"Playoff","Neutral","varsity","Wall","Fri, 11/11Time TBA"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/malakoff/cross-roads-bobcats/","18","54","2022","8-26-2022","Non-District","Home","varsity","Cross RoadsMalakoff","Fri, 8/267:00pm"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/overton/overton-mustangs/","6","45","2022","9-1-2022","Non-District","Away","varsity","Overton","Thu, 9/17:00pm"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/tyler/bishop-gorman-crusaders/","0","44","2022","9-9-2022","Non-District","Home","varsity","Bishop GormanTyler","Fri, 9/97:00pm"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/cumby/cumby-trojans/","0","50","2022","9-16-2022","Non-District","Away","varsity","Cumby","Fri, 9/167:30pm"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/lewisville/founders-classical-academy-eagles/","16","43","2022","9-23-2022","Non-District","Away","varsity","Founders Classical AcademyLewisville","Fri, 9/237:30pm"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/huntsville/alpha-omega-academy-lions/","6","52","2022","9-30-2022","Non-District","Home","varsity","Alpha Omega AcademyHuntsville","Fri, 9/307:00pm"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/dallas/ume-preparatory-academy-eagles/","16","25","2022","10-8-2022","Non-District","Away","varsity","UME Preparatory AcademyDallas","Sat, 10/81:00pm"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/spring/frassati-catholic-falcons/","21","19","2022","10-15-2022","District","Home","varsity","Frassati CatholicSpring","Sat, 10/153:00pm"
"/tx/tyler/all-saints-episcopal-trojans/","/tx/dallas/shelton-chargers/","6","55","2022","10-21-2022","Non-District","Away","varsity","SheltonDallas","Fri, 10/217:00pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/munday/munday-moguls/","14","18","2022","8-26-2022","Non-District","Neutral","varsity","Munday","Fri, 8/267:30pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/lewisville/founders-classical-academy-eagles/","14","35","2022","9-3-2022","Non-District","Home","varsity","Founders Classical AcademyLewisville","Sat, 9/37:30pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/cumby/cumby-trojans/","0","24","2022","9-9-2022","Non-District","Away","varsity","Cumby","Fri, 9/97:30pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/dallas/first-baptist-saints/","11","56","2022","9-23-2022","District","Home","varsity","First BaptistDallas","Fri, 9/237:00pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/fort-worth/temple-christian-eagles/","7","44","2022","9-30-2022","District","Away","varsity","Temple ChristianFort Worth","Fri, 9/307:30pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/tyler/bishop-gorman-crusaders/","6","50","2022","10-7-2022","District","Home","varsity","Bishop GormanTyler","Fri, 10/77:00pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/waco/reicher-catholic-cougars/","7","48","2022","10-15-2022","District","Home","varsity","Reicher CatholicWaco","Sat, 10/157:30pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/muenster/sacred-heart-tigers/","17","56","2022","10-21-2022","District","Away","varsity","Sacred HeartMuenster","Fri, 10/217:00pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/weatherford/weatherford-christian-lions/","13","76","2022","10-28-2022","District","Home","varsity","Weatherford ChristianWeatherford","Fri, 10/287:00pm"
"/tx/fort-worth/mercy-culture-prep-royals/","/tx/lubbock/lubbock-christian-eagles/","13","59","2022","11-4-2022","District","Away","varsity","Lubbock ChristianLubbock","Fri, 11/47:00pm"
"/tx/houston/lutheran-north-lions/","/tx/houston/village-vikings/","0","49","2022","8-26-2022","Non-District","Home","varsity","VillageHouston","Fri, 8/267:00pm"
"/tx/houston/lutheran-north-lions/","/tx/hallettsville/sacred-heart-indians/","7","55","2022","9-9-2022","Non-District","Away","varsity","Sacred HeartHallettsville","Fri, 9/97:30pm"
"/tx/houston/lutheran-north-lions/","/tx/houston/kipp-sunnyside/","0","51","2022","9-16-2022","Non-District","Home","varsity","KIPP SunnysideHouston","Fri, 9/167:00pm"
"/tx/houston/lutheran-north-lions/","/tx/corpus-christi/john-paul-ii-centurions/","14","28","2022","9-24-2022","Non-District","Away","varsity","John Paul IICorpus Christi","Sat, 9/242:00pm"
"/tx/houston/lutheran-north-lions/","/tx/new-braunfels/new-braunfels-christian-academy-wildcats/","15","33","2022","9-30-2022","Non-District","Home","varsity","New Braunfels Christian AcademyNew Braunfels","Fri, 9/307:00pm"
"/tx/houston/lutheran-north-lions/","/tx/bryan/brazos-christian-eagles/","17","51","2022","10-7-2022","District","Home","varsity","Brazos ChristianBryan","Fri, 10/77:00pm"
"/tx/houston/lutheran-north-lions/","/tx/houston/northland-christian-cougars/","14","62","2022","10-14-2022","District","Home","varsity","Northland ChristianHouston","Fri, 10/147:00pm"
"/tx/houston/lutheran-north-lions/","/tx/huntsville/alpha-omega-academy-lions/","21","45","2022","10-21-2022","District","Away","varsity","Alpha Omega AcademyHuntsville","Fri, 10/217:00pm"
"/tx/houston/lutheran-north-lions/","/tx/tomball/rosehill-christian-eagles/",NA,NA,"2022","10-27-2022","District","Away","varsity","Rosehill ChristianTomball","Thu, 10/277:00pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/league-city/bay-area-christian-broncos/","0","61","2022","9-2-2022","Non-District","Away","varsity","Bay Area ChristianLeague City","Fri, 9/27:00pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/houston/kipp-east-end/","14","6","2022","9-9-2022","District","Home","varsity","KIPP East EndHouston","Fri, 9/96:00pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/shelbyville/shelbyville-dragons/","0","61","2022","9-16-2022","Non-District","Away","varsity","Shelbyville","Fri, 9/167:00pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/sabine-pass/sabine-pass-sharks/","0","14","2022","9-23-2022","Non-District","Away","varsity","Sabine Pass","Fri, 9/237:00pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/hallettsville/hallettsville-brahmas/",NA,NA,"2022","9-30-2022","Non-District","Home","varsity","Hallettsville","Fri, 9/307:00pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/houston/kipp-northeast-navigators/","0","30","2022","10-21-2022","District","Away","varsity","KIPP NortheastHouston","Fri, 10/217:00pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/houston/kipp-sunnyside/","0","50","2022","10-27-2022","District","Home","varsity","KIPP SunnysideHouston","Thu, 10/276:30pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/houston/kipp-houston-kerberos/","12","40","2022","11-4-2022","District","Home","varsity","KIPP HoustonHouston","Fri, 11/47:00pm"
"/tx/houston/kipp-generations-collegiate-jaguars/","/tx/spring/legacy-school-of-sport-sciences-titans/",NA,NA,"2022","11-11-2022","Playoff","Away","varsity","Legacy School of Sport SciencesSpring","Fri, 11/117:00pm"
"/tx/houston/pro-vision-academy-warriors/","/tx/houston/scarborough-spartans/","8","30","2022","8-26-2022","Non-District","Away","varsity","ScarboroughHouston","Fri, 8/267:00pm"
"/tx/houston/pro-vision-academy-warriors/","/tx/conroe/northside-lions-sports-association-lions/","0","39","2022","9-2-2022","Non-District","Home","varsity","Northside Lions Sports AssociationConroe","Fri, 9/27:00pm"
"/tx/houston/pro-vision-academy-warriors/","/tx/houston/furr-brahmans/","0","68","2022","9-9-2022","Non-District","Away","varsity","FurrHouston","Fri, 9/97:00pm"
"/tx/houston/pro-vision-academy-warriors/","/tx/houston/kipp-east-end/","16","6","2022","9-16-2022","Non-District","Home","varsity","KIPP East EndHouston","Fri, 9/167:00pm"
"/tx/houston/pro-vision-academy-warriors/","/tx/houston/kipp-houston-kerberos/","6","32","2022","9-30-2022","Non-District","Away","varsity","KIPP HoustonHouston","Fri, 9/306:00pm"
"/tx/houston/pro-vision-academy-warriors/","/tx/houston/kipp-northeast-navigators/","14","34","2022","10-6-2022","Non-District","Away","varsity","KIPP NortheastHouston","Thu, 10/67:00pm"
"/tx/houston/pro-vision-academy-warriors/","/tx/spring/legacy-school-of-sport-sciences-titans/","0","64","2022","10-28-2022","District","Away","varsity","Legacy School of Sport SciencesSpring","Fri, 10/287:00pm"
"/tx/houston/pro-vision-academy-warriors/","/tx/harlingen/marine-military-leathernecks/","0","28","2022","11-4-2022","Non-District","Away","varsity","Marine MilitaryHarlingen","Fri, 11/41:00pm"
"/tx/dallas/ume-preparatory-academy-eagles/","/tx/round-rock/austin-crusaders-homeschool-crusaders/","2","22","2022","9-3-2022","Non-District","Home","varsity","Austin Crusaders HomeSchoolRound Rock","Sat, 9/34:00pm"
"/tx/dallas/ume-preparatory-academy-eagles/","/tx/lewisville/founders-classical-academy-eagles/","6","47","2022","9-17-2022","District","Away","varsity","Founders Classical AcademyLewisville","Sat, 9/177:00pm"
"/tx/dallas/ume-preparatory-academy-eagles/",NA,"8","6","2022","9-24-2022","Non-District","Away","varsity","Non-Varsity Opponent","Sat, 9/241:00pm"
"/tx/dallas/ume-preparatory-academy-eagles/","/tx/fort-worth/atlas-homeschool-rattlers-rattlers/","6","52","2022","9-30-2022","Non-District","Away","varsity","Atlas HomeSchool RattlersFort Worth","Fri, 9/307:30pm"
"/tx/dallas/ume-preparatory-academy-eagles/","/tx/tyler/all-saints-episcopal-trojans/","25","16","2022","10-8-2022","Non-District","Home","varsity","All Saints EpiscopalTyler","Sat, 10/81:00pm"
"/tx/dallas/ume-preparatory-academy-eagles/","/tx/arlington/newman-international-academy-warriors/","20","21","2022","10-29-2022","District","Away","varsity","Newman International AcademyArlington","Sat, 10/297:00pm"
"/tx/dallas/ume-preparatory-academy-eagles/","/tx/china-spring/ctsa-outlaws-outlaws/",NA,NA,"2022","9-29-2023","Non-District","Away","varsity","CTSA OutlawsChina Spring","Fri, 9/297:00pm"
"/tx/runge/runge-yellowjackets/","/tx/falls-city/falls-city-beavers/",NA,NA,"2022",NA,"Non-District","Away","jv","Falls City","Thu, 10/276:30pm"
"/tx/runge/runge-yellowjackets/","/tx/pettus/pettus-war-eagles/","0","28","2022","8-26-2022","Non-District","Away","varsity","Pettus","Fri, 8/267:00pm"
"/tx/runge/runge-yellowjackets/","/tx/benavides/benavides-eagles/","46","0","2022","9-2-2022","Non-District","Home","varsity","Benavides","Fri, 9/27:00pm"
"/tx/runge/runge-yellowjackets/","/tx/charlotte/charlotte-trojans/","8","38","2022","9-9-2022","Non-District","Home","varsity","Charlotte","Fri, 9/97:00pm"
"/tx/runge/runge-yellowjackets/","/tx/bloomington/bloomington-bobcats-lady-cats/","0","54","2022","9-16-2022","Non-District","Away","varsity","Bloomington","Fri, 9/167:00pm"
"/tx/runge/runge-yellowjackets/","/tx/louise/louise-hornets/","0","43","2022","9-23-2022","District","Home","varsity","Louise","Fri, 9/237:00pm"
"/tx/runge/runge-yellowjackets/","/tx/snook/snook-bluejays/","6","56","2022","9-30-2022","District","Away","varsity","Snook","Fri, 9/307:00pm"
"/tx/runge/runge-yellowjackets/","/tx/somerville/somerville-yeguas/","12","28","2022","10-14-2022","District","Home","varsity","Somerville","Fri, 10/147:00pm"
"/tx/runge/runge-yellowjackets/","/tx/burton/burton-panthers/","8","39","2022","10-21-2022","District","Away","varsity","Burton","Fri, 10/217:00pm"
"/tx/runge/runge-yellowjackets/","/tx/falls-city/falls-city-beavers/","12","41","2022","10-28-2022","District","Home","varsity","Falls City","Fri, 10/287:00pm"
"/tx/runge/runge-yellowjackets/","/tx/yorktown/yorktown-wildcats/","0","47","2022","11-4-2022","District","Away","varsity","Yorktown","Fri, 11/47:00pm"
"/tx/sabine-pass/sabine-pass-sharks/","/tx/spring/frassati-catholic-falcons/","0","46","2022","8-26-2022","Non-District","Away","varsity","Frassati CatholicSpring","Fri, 8/267:00pm"
"/tx/sabine-pass/sabine-pass-sharks/","/tx/houston/kipp-houston-kerberos/","0","42","2022","9-9-2022","Non-District","Away","varsity","KIPP HoustonHouston","Fri, 9/96:00pm"
"/tx/sabine-pass/sabine-pass-sharks/","/tx/houston/kipp-generations-collegiate-jaguars/","14","0","2022","9-23-2022","Non-District","Home","varsity","KIPP Generations CollegiateHouston","Fri, 9/237:00pm"
"/tx/sabine-pass/sabine-pass-sharks/","/tx/daisetta/hull-daisetta-bobcats/","7","44","2022","10-7-2022","District","Home","varsity","Hull-DaisettaDaisetta","Fri, 10/77:00pm"
"/tx/sabine-pass/sabine-pass-sharks/","/tx/evadale/evadale-rebels/","12","47","2022","10-14-2022","District","Home","varsity","Evadale","Fri, 10/147:00pm"
"/tx/sabine-pass/sabine-pass-sharks/","/tx/lovelady/lovelady-lions/","0","62","2022","10-21-2022","District","Away","varsity","Lovelady","Fri, 10/21Time TBA"
"/tx/sabine-pass/sabine-pass-sharks/","/tx/deweyville/deweyville-pirates/","0","62","2022","10-27-2022","District","Home","varsity","Deweyville","Thu, 10/277:00pm"
"/tx/sabine-pass/sabine-pass-sharks/","/tx/colmesneil/colmesneil-bulldogs/","2","52","2022","11-3-2022","District","Away","varsity","Colmesneil","Thu, 11/37:00pm"
"/tx/austin/eastside-early-college-panthers/","/tx/manor/manor-new-tech/","14","58","2022","8-26-2022","Non-District","Home","varsity","Manor New TechManor","Fri, 8/267:30pm"
"/tx/austin/eastside-early-college-panthers/","/tx/austin/austin-achieve-polar-bears/","26","28","2022","9-2-2022","Non-District","Away","varsity","Austin AchieveAustin","Fri, 9/27:00pm"
"/tx/austin/eastside-early-college-panthers/","/tx/luling/luling-eagles/","0","59","2022","9-9-2022","Non-District","Away","varsity","Luling","Fri, 9/97:30pm"
"/tx/austin/eastside-early-college-panthers/","/tx/austin/liberal-arts-and-science-academy-austin-raptors/","8","40","2022","9-16-2022","District","Away","varsity","Liberal Arts & Science Academy - AustinAustin","Fri, 9/167:30pm"
"/tx/austin/eastside-early-college-panthers/","/tx/austin/navarro-vikings/","6","44","2022","9-29-2022","District","Home","varsity","NavarroAustin","Thu, 9/297:30pm"
"/tx/austin/eastside-early-college-panthers/","/tx/austin/travis-rebels/","0","47","2022","10-6-2022","District","Away","varsity","TravisAustin","Thu, 10/6Time TBA"
"/tx/austin/eastside-early-college-panthers/","/tx/austin/northeast-early-college-raiders/","0","69","2022","10-13-2022","District","Away","varsity","Northeast Early CollegeAustin","Thu, 10/13Time TBA"
"/tx/austin/eastside-early-college-panthers/","/tx/austin/crockett-cougars/","0","77","2022","10-21-2022","District","Home","varsity","CrockettAustin","Fri, 10/217:30pm"
"/tx/austin/eastside-early-college-panthers/","/tx/austin/lbj-austin-jaguars/","0","96","2022","10-27-2022","District","Away","varsity","LBJ AustinAustin","Thu, 10/277:30pm"
"/tx/austin/eastside-early-college-panthers/","/tx/austin/mccallum-knights/","0","56","2022","11-4-2022","District","Home","varsity","McCallumAustin","Fri, 11/47:30pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/water-valley/water-valley-wildcats/","19","80","2022","8-26-2022","Non-District","Away","varsity","Water Valley","Fri, 8/267:30pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/munday/munday-moguls/","30","58","2022","9-2-2022","Non-District","Away","varsity","Munday","Fri, 9/27:30pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/sterling-city/sterling-city-eagles/","19","83","2022","9-9-2022","Non-District","Away","varsity","Sterling City","Fri, 9/97:30pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/lockney/lockney-longhorns/","13","76","2022","9-16-2022","Non-District","Away","varsity","Lockney","Fri, 9/167:00pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/wichita-falls/city-view-mustangs/","0","49","2022","9-23-2022","Non-District","Away","varsity","City ViewWichita Falls","Fri, 9/237:30pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/hamlin/hamlin-pied-pipers/","0","69","2022","10-6-2022","District","Home","varsity","Hamlin","Thu, 10/67:30pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/roscoe/roscoe-plowboys/","12","64","2022","10-14-2022","District","Home","varsity","Roscoe","Fri, 10/147:00pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/miles/miles-bulldogs/","0","81","2022","10-21-2022","District","Away","varsity","Miles","Fri, 10/217:30pm"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/cross-plains/cross-plains-buffaloes/","0","61","2022","10-28-2022","District","Home","varsity","Cross Plains","Fri, 10/28Time TBA"
"/tx/abilene/texas-leadership-charter-academy-abilene-eagles/","/tx/albany/albany-lions/","0","67","2022","11-3-2022","District","Away","varsity","Albany","Thu, 11/3Time TBA"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/pearsall/pearsall-mavericks/","6","42","2022","8-26-2022","Non-District","Away","varsity","Pearsall","Fri, 8/265:00am"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/san-antonio/st-anthony-yellowjackets/","0","50","2022","9-1-2022","Non-District","Home","varsity","St. AnthonySan Antonio","Thu, 9/17:00pm"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/lytle/lytle-pirates/","0","42","2022","9-9-2022","Non-District","Away","varsity","Lytle","Fri, 9/97:00pm"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/austin/austin-achieve-polar-bears/","12","28","2022","9-16-2022","Non-District","Home","varsity","Austin AchieveAustin","Fri, 9/167:00pm"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/karnes-city/karnes-city-badgers/","0","56","2022","9-23-2022","District","Away","varsity","Karnes City","Fri, 9/237:30pm"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/dilley/dilley-wolves/","0","16","2022","9-30-2022","District","Home","varsity","Dilley","Fri, 9/307:30pm"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/poth/poth-pirates/","0","77","2022","10-7-2022","District","Away","varsity","Poth","Fri, 10/77:30pm"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/nixon/nixon-smiley-mustangs/","0","41","2022","10-21-2022","District","Home","varsity","Nixon-SmileyNixon","Fri, 10/217:30pm"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/natalia/natalia-mustangs/","14","63","2022","10-28-2022","District","Away","varsity","Natalia","Fri, 10/287:30pm"
"/tx/san-antonio/south-san-antonio-west-cougars/","/tx/comfort/comfort-bobcats-deer/","7","55","2022","11-4-2022","District","Home","varsity","Comfort","Fri, 11/47:30pm"
"/tx/houston/scarborough-spartans/","/tx/houston/pro-vision-academy-warriors/","30","8","2022","8-26-2022","Non-District","Home","varsity","Pro-Vision AcademyHouston","Fri, 8/267:00pm"
"/tx/houston/scarborough-spartans/","/tx/houston/sharpstown-apollos/","20","44","2022","9-1-2022","Non-District","Away","varsity","SharpstownHouston","Thu, 9/17:00pm"
"/tx/houston/scarborough-spartans/","/tx/houston/kipp-northeast-navigators/","6","48","2022","9-8-2022","Non-District","Home","varsity","KIPP NortheastHouston","Thu, 9/8Time TBA"
"/tx/houston/scarborough-spartans/","/tx/houston/worthing-colts/","0","55","2022","9-22-2022","District","Away","varsity","WorthingHouston","Thu, 9/22Time TBA"
"/tx/houston/scarborough-spartans/","/tx/houston/yates-lions/","0","58","2022","9-30-2022","District","Home","varsity","YatesHouston","Fri, 9/307:00pm"
"/tx/houston/scarborough-spartans/","/tx/houston/kashmere-fighting-rams/","0","60","2022","10-8-2022","District","Home","varsity","KashmereHouston","Sat, 10/86:00pm"
"/tx/houston/scarborough-spartans/","/tx/houston/wheatley-wildcats/","0","55","2022","10-15-2022","District","Away","varsity","WheatleyHouston","Sat, 10/156:00pm"
"/tx/houston/scarborough-spartans/","/tx/houston/north-forest-bulldogs/","0","40","2022","10-21-2022","District","Home","varsity","North ForestHouston","Fri, 10/217:00pm"
"/tx/houston/scarborough-spartans/","/tx/houston/furr-brahmans/","0","55","2022","10-29-2022","District","Away","varsity","FurrHouston","Sat, 10/291:00pm"
"/tx/houston/scarborough-spartans/","/tx/houston/washington-eagles/","6","82","2022","11-4-2022","District","Home","varsity","WashingtonHouston","Fri, 11/47:00pm"
"/tx/pettus/pettus-war-eagles/","/tx/runge/runge-yellowjackets/","28","0","2022","8-26-2022","Non-District","Home","varsity","Runge","Fri, 8/267:00pm"
"/tx/pettus/pettus-war-eagles/","/tx/la-pryor/la-pryor-bulldogs/","0","27","2022","9-2-2022","Non-District","Away","varsity","La Pryor","Fri, 9/27:00pm"
"/tx/pettus/pettus-war-eagles/","/tx/bloomington/bloomington-bobcats-lady-cats/","14","42","2022","9-9-2022","Non-District","Home","varsity","Bloomington","Fri, 9/97:30pm"
"/tx/pettus/pettus-war-eagles/","/tx/sabinal/sabinal-yellowjackets/","2","34","2022","9-16-2022","Non-District","Away","varsity","Sabinal","Fri, 9/167:30pm"
"/tx/pettus/pettus-war-eagles/","/tx/ben-bolt/ben-bolt-badgers/","0","36","2022","9-23-2022","Non-District","Away","varsity","Ben Bolt","Fri, 9/23Time TBA"
"/tx/pettus/pettus-war-eagles/",NA,"27","12","2022","9-29-2022","Non-District","Home","varsity","Non-Varsity Opponent","Thu, 9/297:00pm"
"/tx/pettus/pettus-war-eagles/","/tx/benavides/benavides-eagles/","44","20","2022","10-14-2022","District","Home","varsity","Benavides","Fri, 10/147:00pm"
